bank,voice,name,ALG,FB,LFO_SPEED,LFO_DELAY,LFO_PMD,LFO_AMD,LFO_SYNC,LFO_WAVE,TRANSPOSE,PITCH_EG_R1,PITCH_EG_R2,PITCH_EG_R3,PITCH_EG_R4,PITCH_EG_L1,PITCH_EG_L2,PITCH_EG_L3,PITCH_EG_L4,OP1_AR,OP1_DR,OP1_SR,OP1_RR,OP1_SL,OP1_TL,OP1_KSL,OP1_MULTI,OP1_DT,OP1_RS,OP1_AM,OP1_VIB,OP1_EGT,OP1_KSR,OP1_WS,OP2_AR,OP2_DR,OP2_SR,OP2_RR,OP2_SL,OP2_TL,OP2_KSL,OP2_MULTI,OP2_DT,OP2_RS,OP2_AM,OP2_VIB,OP2_EGT,OP2_KSR,OP2_WS,OP3_AR,OP3_DR,OP3_SR,OP3_RR,OP3_SL,OP3_TL,OP3_KSL,OP3_MULTI,OP3_DT,OP3_RS,OP3_AM,OP3_VIB,OP3_EGT,OP3_KSR,OP3_WS,OP4_AR,OP4_DR,OP4_SR,OP4_RR,OP4_SL,OP4_TL,OP4_KSL,OP4_MULTI,OP4_DT,OP4_RS,OP4_AM,OP4_VIB,OP4_EGT,OP4_KSR,OP4_WS,OP5_AR,OP5_DR,OP5_SR,OP5_RR,OP5_SL,OP5_TL,OP5_KSL,OP5_MULTI,OP5_DT,OP5_RS,OP5_AM,OP5_VIB,OP5_EGT,OP5_KSR,OP5_WS,OP6_AR,OP6_DR,OP6_SR,OP6_RR,OP6_SL,OP6_TL,OP6_KSL,OP6_MULTI,OP6_DT,OP6_RS,OP6_AM,OP6_VIB,OP6_EGT,OP6_KSR,OP6_WS
B,1,Analog-X,14,15,45,0,0,0,12,72,65,99,45,99,99,45,50,50,50,99,27,60,53,99,0,0,0,54,0,0,0,72,0,75,99,13,60,53,98,82,85,0,54,0,0,0,56,12,60,71,25,20,53,98,47,0,0,54,0,0,0,104,12,89,75,50,25,54,99,92,84,0,0,0,0,0,2,8,99,70,49,25,33,98,93,55,0,51,0,0,12,3,12,89,70,53,14,54,98,99,89,0,0,0,0,0,1,8,99
B,2,FMilters,10,5,35,0,0,0,24,32,70,99,99,99,99,50,50,50,3,14,11,17,21,72,92,97,0,0,0,0,0,41,10,75,15,22,22,99,99,93,97,0,46,0,0,0,73,11,99,35,28,14,62,80,94,90,0,0,0,0,0,57,4,99,78,76,25,36,21,43,91,0,46,0,0,0,57,0,77,55,17,18,75,50,82,86,0,0,0,0,0,57,3,99,44,33,38,78,99,96,80,0,0,0,0,0,57,8,94
B,3,Phasers,14,14,25,0,0,0,12,40,80,99,99,99,99,50,50,50,50,40,20,99,50,80,99,99,0,0,0,0,0,64,8,99,40,20,99,50,80,99,99,0,0,0,0,0,72,8,99,50,99,99,60,99,99,99,0,0,0,0,0,64,7,70,60,99,99,60,99,99,99,0,0,0,0,0,56,8,99,40,46,7,60,70,99,96,0,0,0,0,0,64,7,86,31,30,99,60,60,99,99,0,0,0,0,0,48,8,99
B,4,Ensemble,8,14,27,0,5,0,24,33,69,99,99,99,99,50,50,50,50,70,27,16,15,90,99,94,0,0,0,17,0,8,8,99,70,27,16,15,90,99,95,0,0,0,0,0,112,7,65,60,27,16,21,90,99,94,0,0,0,0,0,8,7,82,64,40,23,50,99,97,94,0,0,0,0,0,56,0,95,50,26,9,15,94,99,94,0,24,0,5,0,112,7,87,65,79,69,50,99,99,99,0,0,0,0,0,104,0,95
B,5,MalletHorn,17,7,30,33,6,0,24,48,77,99,99,99,99,51,50,50,49,99,38,25,54,99,0,0,0,48,0,0,10,59,0,99,95,74,20,60,99,0,0,0,32,75,0,1,58,8,99,50,34,13,54,99,81,0,0,30,99,0,2,59,8,90,53,36,20,46,99,90,90,0,30,20,0,2,0,24,85,99,70,71,64,99,17,0,0,28,99,40,6,57,24,93,96,14,14,52,99,90,90,0,27,99,0,2,58,16,99
B,6,FM-Growth,16,14,20,40,5,0,0,54,70,90,99,99,99,43,50,50,50,15,15,35,25,99,0,0,0,0,0,10,0,112,4,55,15,15,35,25,99,0,0,0,0,0,10,0,0,4,76,15,15,35,25,99,0,0,0,0,0,10,0,112,4,91,15,15,35,25,99,0,0,0,0,0,10,0,0,4,77,15,15,35,25,99,0,0,0,0,0,10,0,112,4,83,20,99,99,40,99,99,99,0,0,0,0,0,56,4,90
B,7,ElectoComb,3,7,22,16,0,0,24,40,69,99,99,99,99,50,50,50,50,42,78,28,50,99,99,55,0,0,0,0,0,48,8,58,40,78,76,50,99,99,99,0,0,0,0,0,40,8,78,70,78,76,50,99,99,99,0,0,0,0,0,56,12,99,28,71,99,70,99,99,99,0,39,0,14,0,88,11,90,38,99,99,60,99,99,99,0,49,18,0,3,72,7,71,70,78,76,50,99,99,99,0,0,0,0,0,56,12,99
B,8,ClariSolo,4,5,35,0,0,0,24,57,67,99,99,99,99,50,50,50,50,58,99,36,73,99,99,0,0,0,0,0,0,112,8,70,75,99,99,75,99,99,99,0,0,0,0,0,112,16,99,58,99,36,73,99,99,0,0,0,0,0,0,88,8,70,74,99,99,75,99,99,99,0,0,0,0,0,88,16,99,58,99,36,73,99,99,0,0,0,0,0,0,56,8,76,74,99,99,75,99,99,99,0,0,0,0,0,56,16,99
B,9,PitchaPad,1,14,33,33,0,0,12,56,80,94,52,95,60,55,50,50,50,56,13,3,24,99,96,94,93,0,0,6,0,96,0,81,56,13,4,26,99,96,94,93,7,0,0,0,112,0,72,56,13,5,27,99,96,94,93,34,0,15,0,56,0,82,71,41,54,46,99,95,99,0,0,0,0,0,112,0,93,59,46,5,25,98,95,95,93,15,0,2,0,8,0,85,71,25,54,51,99,99,99,0,0,0,0,0,0,0,93
B,10,ClaviBrass,16,15,36,0,0,0,12,33,67,92,99,99,0,50,50,50,47,99,99,99,99,99,99,99,0,0,0,0,0,56,0,77,67,99,99,99,99,99,0,0,0,0,0,0,56,12,77,99,99,99,99,99,99,99,0,28,0,0,3,56,0,99,99,60,58,99,99,85,0,0,45,25,0,0,56,20,73,70,39,6,61,98,89,94,0,0,0,0,0,58,8,83,85,99,10,64,99,99,0,0,0,0,0,0,56,12,99
B,11,WhapSynth,12,15,39,9,0,0,24,48,87,99,99,99,99,50,55,50,55,99,13,99,99,99,0,0,0,0,0,0,0,56,0,75,99,76,99,99,99,0,0,0,0,0,0,0,56,0,99,50,43,99,85,99,91,92,0,0,0,0,0,16,8,94,79,25,99,61,99,91,91,0,0,0,0,0,58,20,96,61,99,99,50,99,99,99,0,0,0,0,0,80,20,99,99,99,99,50,99,99,99,0,0,0,0,0,31,12,99
B,12,Whasers,14,7,35,0,0,0,12,49,87,99,99,99,99,50,50,50,50,99,99,99,99,99,99,99,0,0,0,0,0,64,4,75,99,99,99,99,99,99,99,0,0,0,0,0,56,4,75,99,99,99,99,99,99,99,0,0,0,0,0,112,4,80,99,99,99,99,99,99,99,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,0,0,0,0,0,40,8,66,99,99,99,99,99,99,99,0,0,0,0,0,56,0,99
B,13,Fifths,2,8,35,0,0,0,24,33,70,99,99,99,99,50,50,50,50,72,60,46,40,77,83,92,0,0,0,0,0,56,4,47,72,60,46,40,77,83,92,0,0,0,0,0,48,4,76,63,99,99,65,99,99,99,0,0,0,0,0,56,4,99,41,99,99,99,99,99,99,0,0,0,0,0,56,4,67,72,60,46,40,77,83,92,0,0,0,0,0,0,4,82,63,99,99,65,99,99,99,0,0,0,0,0,56,4,99
B,14,ElecBrass,3,15,30,63,6,0,12,56,69,84,95,95,60,50,50,50,50,87,44,17,57,99,50,60,73,0,0,0,0,56,4,59,48,35,10,74,99,92,0,0,0,1,0,0,64,0,81,59,74,10,51,98,98,36,0,98,0,0,0,114,8,99,54,52,35,66,99,92,0,0,0,0,0,0,61,4,56,76,56,32,61,57,94,90,0,0,0,0,0,57,12,90,80,56,10,52,98,98,36,0,98,0,0,0,56,20,99
B,15,ElectroBak,19,6,14,0,13,0,24,17,69,99,99,0,0,50,50,50,50,42,27,30,42,47,99,78,99,0,0,11,0,81,8,99,32,29,29,40,80,99,90,0,0,0,0,0,9,0,86,57,27,16,45,90,99,91,0,0,0,0,0,40,0,95,32,29,29,40,80,99,90,0,0,0,0,0,49,0,79,63,27,16,45,90,99,91,0,0,0,0,0,48,0,97,33,28,24,81,51,99,80,0,0,0,0,0,40,0,90
B,16,HarmoSynth,2,7,41,0,0,0,24,48,72,84,95,95,60,50,50,50,50,99,44,1,71,99,99,75,0,41,0,12,3,56,8,52,57,99,12,65,99,99,84,0,60,0,0,3,56,12,86,92,99,15,82,99,99,75,0,60,0,0,3,56,4,92,21,46,35,71,91,82,0,0,39,0,1,3,56,12,36,57,40,18,64,99,98,82,48,48,0,1,3,49,8,85,83,99,99,87,99,99,99,0,0,0,0,15,56,12,99
B,17,PianoBells,4,15,29,0,0,0,12,40,80,99,99,99,99,50,50,50,50,99,90,34,44,99,78,11,0,54,0,0,0,3,8,99,99,28,37,41,99,85,0,0,0,0,0,0,2,24,94,99,92,17,44,99,78,11,0,54,0,0,0,11,16,99,99,26,23,41,99,85,0,0,0,0,0,0,60,8,99,99,90,34,44,99,78,11,0,54,0,0,0,59,16,99,99,28,37,41,99,85,0,0,0,0,0,0,59,24,94
B,18,St.Elmo s,4,15,19,1,18,0,24,32,83,99,99,99,99,50,50,50,50,99,10,0,0,99,0,0,0,58,0,3,0,56,0,92,50,25,0,40,75,0,0,0,39,56,40,8,48,8,99,49,98,20,40,90,98,20,0,81,10,0,0,56,12,70,50,31,30,50,99,75,0,0,51,0,9,0,57,8,95,49,98,20,40,90,98,20,0,81,10,0,0,56,12,70,50,31,30,50,99,75,0,0,51,0,9,0,57,8,95
B,19,MilkyWays,4,0,20,10,0,0,24,48,77,99,99,99,99,50,50,50,50,41,29,21,50,99,95,55,0,42,95,0,8,61,12,92,62,20,20,50,99,95,0,0,39,0,0,4,52,8,93,42,84,20,99,99,0,0,0,53,43,0,12,55,24,99,36,25,25,55,99,75,0,0,39,0,0,7,60,16,93,49,98,22,0,99,98,20,0,81,32,0,0,63,12,78,57,31,36,47,99,75,0,0,0,0,0,0,57,8,95
B,20,Pluk,15,15,30,0,0,0,24,49,80,94,67,95,60,50,50,50,50,99,82,75,0,99,87,0,0,41,30,0,0,56,4,99,99,64,0,8,85,48,0,0,37,0,25,0,56,16,99,90,67,21,82,99,85,0,0,18,0,2,4,56,28,78,99,30,34,46,99,80,0,0,0,0,0,0,56,28,99,75,69,82,11,99,0,0,0,0,0,0,3,42,4,99,99,33,14,32,99,80,0,0,43,5,0,3,58,4,85
B,21,TingVoice,16,0,40,42,7,0,24,41,84,99,99,99,0,50,50,50,50,99,68,30,55,99,69,0,0,0,0,0,0,56,8,94,88,61,16,28,99,76,0,0,0,0,0,0,56,4,75,59,32,99,19,64,99,99,0,0,0,0,0,56,0,45,32,32,99,34,59,99,99,0,0,0,0,0,80,4,62,32,32,99,21,56,99,99,0,0,0,0,0,40,4,63,90,82,99,33,90,99,99,0,0,0,0,0,56,20,99
